user_id,rec
1,36 101 4 3 1 2 6 8 403 34 
2,2 3 4 47 11 9 5 19 50 6 
3,59 259 3 9 5 2 584 7 536 648 
4,28 50 2 1 9 4 6 145 3 14 
5,4 6 2 8 3 14 20 77 51 44 
6,2 6 9 7 8 14 3 15 22 19 
8,2 210 14 4 80 20 11 95 22 33 
9,1 316 146 115 171 350 9 41 58 859 
10,2 1 3 17 4 6 7 27 8 40 
11,31 40 58 4 2 6 34 7 9 44 
12,2 6 60 261 139 36 7 31 77 171 
13,3 41 39 53 4 1316 376 34 2 32 
14,6 4 7 1 14 3 106 15 8 90 
15,2 4 19 1 35 3 6 5 20 7 
16,4 7 6 1 2 14 29 617 88 9 
17,4 2 1 3 17 19 44 16 9 5 
18,1 4 2 6 14 7 8 3 179 9 
19,764 3 252 636 7 4 2 34 1 32 
20,4 1 134 2 8 3 20 129 6 313 
21,1 5 2 4 405 9 152 17 6 13 
23,7 2 282 236 89 1 4 82 9 5 
24,4 179 88 1 8 6 25 393 3 94 
25,7 51 18 2 15 107 3 14 87 88 
26,139 254 165 2 474 314 292 269 350 408 
28,11 19 9 47 33 3 20 14 41 39 
29,28 4 2 17 27 47 1 3 7 6 
30,4 1 9 3 23 12 35 17 7 11 
32,2 15 4 10 379 30 18 7 1 51 
33,4 2 8 7 22 1 3 33 40 9 
34,7 202 88 365 51 15 87 81 26 8 
35,139 254 314 146 165 316 474 1 996 563 
36,4 6 3 14 22 19 44 20 15 74 
38,4 2 7 14 3 8 11 101 51 34 
39,4 1 3 8 2 304 134 20 6 83 
40,4 31 1 17 3 9 19 22 58 47 
41,31 55 58 4 1 20 9 33 6 77 
42,3 2 1 4 7 15 14 9 8 19 
43,4 2 1 15 8 9 35 6 3 7 
44,7 1 2 4 6 15 9 30 108 8 
45,2 1 4 14 6 15 7 20 19 8 
46,4 6 19 2 20 1 14 74 8 22 
47,4 38 15 96 2 3 85 154 72 214 
48,17 2 28 37 6 14 7 1 47 27 
49,116 4 148 3 8 20 32 2 6 44 
50,4 1 6 2 8 67 20 177 199 44 
51,4 2 22 19 24 84 238 60 80 164 
52,94 4 2 262 8 53 9 15 1 51 
53,859 720 3970 254 7075 1424 6472 910 133 6471 
